Unnamed: 0,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider County Name,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Number of Penalties,Avg Hospital Stay,Treatment cost (in thousands $),Hospital readmission rates(in %),Patient wait time (mins),Patient satisfaction rate(out of 10),ER wait time,Primary Care Provider(PCP),Cluster
11654,105135,RIVERWOOD CENTER,2802 PARENTAL HOME ROAD,JACKSONVILLE,FL,32216,9047210088,Duval,240,214.3,Medicare and Medicaid,4,4,4,3,3.80457,0.06641,17.333,0,4,1,1,9,48,17,35,3,24,No,Cluster 3
11655,55388,SAN JOSE HEALTHCARE & WELLNESS CENTER,75 N. 13TH STREET,SAN JOSE,CA,95112,4082952665,Santa Clara,58,54.3,Medicare and Medicaid,5,5,5,4,4.21319,0.14065,20.0,6,1,0,0,4,52,12,93,8,14,PD,Cluster 0
11656,235553,MEDILODGE OF ROGERS CITY,555 N BRADLEY HWY,ROGERS CITY,MI,49779,9897342151,Presque Isle,98,62.8,Medicare and Medicaid,5,4,4,5,3.96414,0.08175,33.333,8,3,0,0,9,49,11,45,5,12,PD,Cluster 0
11657,235412,THE VILLA AT TRAVERSE POINT,2828 CONCORD ST,TRAVERSE CITY,MI,49684,2319411200,Grand Traverse,96,74.9,Medicare and Medicaid,4,2,5,4,3.19144,0.0,141.333,9,10,0,1,2,8,24,45,9,32,FP,Cluster 1
11658,55888,HUNTINGTON VALLEY HEALTHCARE CENTER,8382 NEWMAN AVENUE,HUNTINGTON BEACH,CA,92647,7148425551,Orange,144,124.8,Medicare and Medicaid,3,3,4,2,4.47315,0.24681,66.0,1,7,0,0,7,34,16,98,8,10,No,Cluster 0
11659,145555,EDWARDSVILLE NSG & REHAB CTR,401 ST MARY DRIVE,EDWARDSVILLE,IL,62025,6186921330,Madison,120,91.5,Medicare and Medicaid,1,1,1,1,2.95092,0.02594,222.0,1,24,1,2,6,19,28,65,5,38,GIM,Cluster 1
11660,195341,"RIVER PALMS NURSING & REHAB, L L C",5301 TULLIS DRIVE,NEW ORLEANS,LA,70131,5043945807,Orleans,186,168.3,Medicare and Medicaid,1,1,1,1,3.09178,0.03714,83.833,4,13,1,1,5,10,31,75,4,44,PD,Cluster 1
11661,155253,MEADOWOOD HEALTH PAVILION,2455 TAMARACK TRAIL,BLOOMINGTON,IN,47408,8123367060,Monroe,66,44.8,Medicare and Medicaid,5,5,5,5,4.89612,0.08427,9.333,0,0,0,0,8,58,10,45,5,11,FP,Cluster 0
11662,115492,NHC HEALTHCARE FT OGLETHORPE,2403 BATTLEFIELD PKWY,FORT OGLETHORPE,GA,30742,7068667700,Catoosa,135,125.5,Medicare and Medicaid,4,4,4,2,3.41885,0.10722,9.333,0,0,0,0,7,44,28,35,9,32,PD,Cluster 2
11663,445445,CELINA HEALTH AND REHABILITATION CENTER,120 PITCOCK LANE,CELINA,TN,38551,9312433139,Clay,78,60.7,Medicare and Medicaid,4,4,4,2,3.4227199999999995,0.03273,8.667,0,1,0,0,9,44,19,35,4,33,FP,Cluster 2
11664,345548,ASHTON HEALTH AND REHABILITATION,5533 BURLINGTON ROAD,MCLEANSVILLE,NC,27301,3366980045,Guilford,134,122.5,Medicare and Medicaid,1,1,3,2,3.7888,0.04622,78.0,0,42,1,2,3,17,22,25,4,41,PD,Cluster 1
11665,676455,FIVE POINTS NURSING AND REHABILITATION,1625 POINT WEST PARKWAY,AMARILLO,TX,79124,8173488969,Potter,120,71.6,Medicare and Medicaid,4,4,3,2,3.73615,0.02447,26.4,0,1,0,0,8,47,24,95,5,28,PD,Cluster 2
11666,105038,"OCEAN VIEW NURSING & REHABILITATION CENTER, LLC",2810 SOUTH ATLANTIC AVENUE,NEW SMYRNA BEACH,FL,32169,3864286424,Volusia,219,146.1,Medicare and Medicaid,2,1,5,3,4.13152,0.07209,169.0,0,5,3,3,3,11,19,35,3,26,PD,Cluster 3
11667,315461,VIRTUA H & R C AT BERLIN,100 LONG-A-COMING LANE,BERLIN,NJ,8009,8563223600,Camden,128,108.8,Medicare and Medicaid,5,4,5,5,4.45475,0.10023,7.332999999999998,0,1,1,1,8,44,11,85,6,10,GP,Cluster 0
11668,45219,"CRESTPARK FORREST CITY, LLC",500 KITTLE RD,FORREST CITY,AR,72335,8706334260,St. Francis,100,63.7,Medicare and Medicaid,4,3,2,4,4.10318,0.02444,67.667,0,1,1,2,8,31,27,72,9,33,FP,Cluster 2
11669,396126,POWERBACK REHABILITATION PHOENIXVILLE,3000 BALFOUR CIRCLE,PHOENIXVILLE,PA,19460,4849206200,Chester,22,19.9,Medicare,5,5,4,5,5.33067,0.30793000000000004,6.0,0,0,0,0,4,53,14,16,6,12,No,Cluster 0
11670,395138,MIFFLIN CENTER,500 EAST PHILADELPHIA AVENUE,SHILLINGTON,PA,19607,6107777841,Berks,136,132.4,Medicare and Medicaid,5,5,5,2,3.5408699999999995,0.09734,6.0,0,1,0,0,6,55,13,15,3,19,No,Cluster 0
11671,155620,ZIONSVILLE MEADOWS,675 S FORD RD,ZIONSVILLE,IN,46077,3178735205,Boone,185,90.6,Medicare and Medicaid,2,1,5,2,4.091469999999998,0.0458,138.333,8,7,3,3,3,10,29,45,1,30,No,Cluster 1
11672,235332,"WESTLAND, A VILLA CENTER",36137 W WARREN,WESTLAND,MI,48185,7347286100,Wayne,230,200.1,Medicare and Medicaid,1,1,4,3,3.20151,0.03115,224.5,3,97,4,4,7,12,31,45,3,40,FP,Cluster 1
11673,85029,"HARRISON SENIOR LIVING OF GEORGETOWN, LLC",110 W. NORTH STREET,GEORGETOWN,DE,19947,3028564574,Sussex,139,127.5,Medicare and Medicaid,3,2,3,4,3.89404,0.048310000000000006,111.333,4,0,2,2,3,28,19,10,9,31,No,Cluster 2
11674,265763,KNOX COUNTY NURSING HOME DISTRICT,55774 STATE HIGHWAY 6,EDINA,MO,63537,6603972282,Knox,60,37.7,Medicare and Medicaid,4,3,3,4,3.98081,0.00595,33.333,0,1,0,0,6,39,20,65,6,30,GP,Cluster 2
11675,365457,THE LAURELS OF MIDDLETOWN,751 KENSINGTON STREET,MIDDLETOWN,OH,45044,5134243511,Butler,109,101.0,Medicare and Medicaid,1,1,2,1,3.18747,0.06697,114.0,0,6,1,1,5,11,23,45,5,37,FP,Cluster 1
11676,345134,PELICAN HEALTH RANDOLPH LLC,4801 RANDOLPH ROAD,CHARLOTTE,NC,28211,7043648363,Mecklenburg,100,74.7,Medicare and Medicaid,3,3,3,3,3.20607,0.06315,24.667,0,5,1,1,7,32,23,25,3,32,FP,Cluster 2
11677,445098,"NHC HEALTHCARE, KNOXVILLE",809 EAST EMERALD AVE,KNOXVILLE,TN,37917,8655247366,Knox,127,111.4,Medicare and Medicaid,4,3,4,4,3.82628,0.04528,16.667,2,0,0,0,8,38,18,35,9,29,FP,Cluster 2
